  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
PR-000076 O PR    SAN JUAN         18 25 30.54N 066 03 28.23W BLDG               1 00198 00211 R 1 B N 0070_SJ00008OE C 2015324 
PR-000077 O PR    YABUCOA          18 02 52.00N 065 51 12.00W STACK              6 00350 00370 R 2 E N 0077_SJ00028OE A 1982139 
PR-000078 O PR    TOA BAJA         18 26 50.00N 066 15 22.00W STACK              1 00210 00227 R 5 D N 0069_SJ00022OE A 1980163 
PR-000079 O PR    CAGUAS           18 14 46.00N 066 01 24.00W TOWER              1 00203 00383 R 5 E M 0069_SJ00056OE C 1990317 
PR-000080 O PR    BAYAMON          18 24 25.72N 066 10 51.72W TOWER              1 00239 00441 R 2 C P 2011ASO05832OE C 2018089 
PR-000081 O PR    PENUELAS         18 00 22.00N 066 43 27.00W STACK              1 00460 00488 L 3 C M                C 1996043 
PR-000083 O PR    SAN JUAN         18 26 44.00N 066 01 00.00W BLDG               1 00197 00203 R 1 A N 0072_SJ00082OE C 1994276 
PR-000084 O PR    SAN JUAN         18 27 26.30N 066 04 24.59W BLDG               1 00150 00168 R 1 B N 0069_SJ00121OE C 2015327 
PR-000085 O PR    JAYUYA           18 09 13.05N 066 33 15.41W TOWER              1 00192 04144 N 2 C N 2011ASO05929OE C 2018145 
PR-000086 O PR    PONCE            18 00 15.70N 066 36 50.90W TOWER              1 00231 00270 R 2 C P 2011ASO06226OE C 2018089 
PR-000087 O PR    COROZAL          18 15 02.00N 066 19 57.00W TOWER              1 00283 02711 R 5 E M 1989ASO00383OE C 1990183 
PR-000088 O PR    YABUCOA          18 02 23.00N 065 52 29.00W BLDG               1 00204 00270 U 4 D M 0070_SJ00019OE C 2014124 
PR-000089 O PR    COAMO            18 05 21.00N 066 22 13.00W TOWER              1 00179 00934 N 4 D M                C 1990351 
PR-000090 O PR    SAN JUAN         18 26 54.17N 066 02 08.45W BLDG               1 00171 00183 R 1 B N                C 2015327 
PR-000091 O PR    SAN JUAN         18 26 35.20N 066 01 13.79W BLDG               1 00209 00217 R 2 A N 0070_SJ00018OE C 2014006 
PR-000092 O PR    ARECIBO          18 27 26.00N 066 45 19.00W TOWER              1 00256 00473 R 4 D M 0070_SJ00137OE A 1981111 
PR-000094 O PR    SAN JUAN         18 23 57.00N 066 06 28.00W BLDG               1 00204 00253 U 3 C M 0070_SJ00087OE C 1974115 
PR-000095 O PR    HATO REY         18 25 28.48N 066 03 32.64W BLDG               1 00268 00278 R 1 B N 0076_SJ00051OE C 2015344 
PR-000096 O PR    SAN JUAN         18 27 10.00N 066 30 40.00W BLDG               1 00215 00228 U 4 D M 0069_SJ00074OE C 2014124 
PR-000097 O PR    VEGAS            18 06 47.54N 066 03 09.31W TOWER              1 01059 04003 H 2 D N 2010ASO03947OE C 2011325 
PR-000098 O PR    SAN JUAN         18 26 39.00N 066 01 39.00W BLDG               1 00193 00198 R 1 A N 0072_SJ00051OE C 2001274 
PR-000100 O PR    SAN JUAN         18 27 32.00N 066 04 35.49W BLDG               1 00149 00160 R 1 B N 2004ASO05651OE C 2015344 
PR-000101 O PR    HATO REY         18 25 11.01N 066 03 24.19W BLDG               1 00241 00277 L 1 B N 0069_SJ00116OE C 2015328 
PR-000103 O PR    MIRAMAR          18 27 13.00N 066 04 47.00W BLDG               1 00272 00322 R 1 A N 0071_SJ00101OE C 1993312 
PR-000104 O PR    MAYAGUEZ         18 15 13.48N 067 08 54.57W CTRL TWR           1 00069 00099 R 1 A N 0072_SJ00089OE C 2014107 
PR-000105 O PR    SAN JUAN         18 26 09.00N 066 00 19.00W BLDG               1 00046 00057 U 3 C N 0073_SJ00040OE C 1990155 
PR-000106 O PR    SAN JUAN         18 25 36.55N 066 03 50.95W BLDG               1 00195 00206 R 1 B N 0070_SJ00122OE C 2015328 
PR-000107 O PR    SAN JUAN         18 24 22.00N 066 04 19.00W BLDG               2 00232 00248 L 3 C N 0070_SJ00007OE C 1990302 
PR-000108 O PR    GUAYNABO         18 24 19.00N 066 06 34.00W BLDG               1 00262 00328 R 3 C N 0072_SJ00110OE C 1976184 
PR-000110 O PR    AGUADILLA        18 18 59.00N 067 10 41.00W TOWER              1 00235 01448 R 4 D M 0071_SJ00060OE C 2014124 
PR-000111 O PR    PUEBLO VIEJO     18 24 01.00N 066 07 11.00W TOWER              1 00225 00373 R 5 E M 0000_SO00720OE C 1990344 
PR-000112 O PR    CAGUAS           18 13 16.87N 066 01 11.39W TOWER              1 00306 00516 R 5 E P 2014ASO05053OE C 2018101 
PR-000113 O PR    MAYAGUEZ         18 10 45.50N 067 10 07.50W TOWER              1 00242 00246 R 5 D P 2014ASO07816OE C 2014269 
PR-000114 O PR    PONCE            17 59 50.00N 066 37 09.00W TOWER              1 00190 00210 R 5 E M 0066_SJ00083OE C 1990351 
PR-000115 O PR    JAYUYA           18 10 03.10N 066 34 35.80W TOWER              1 00303 04584 R 5 D P 2013ASO11270OE C 2015068 
PR-000117 O PR    GUAYNABO         18 21 26.00N 066 08 04.00W TOWER              4 00208 00436 N 4 E M 0066_SJ00006OE C 1991098 
PR-000118 O PR    SAN JUAN         18 21 40.00N 066 08 16.00W TOWER              3 00288 00419 R 4 E M 0067_OE00029OE C 1990358 
PR-000120 O PR    SAN JUAN         18 26 44.00N 066 03 28.00W BLDG               1 00259 00295 U 4 D N 0071_SJ00040OE C 2014124 
PR-000121 O PR    BARCELONETA      18 26 14.00N 066 33 06.00W TOWER              3 00206 00370 R 5 E M 0075_SJ00061OE A 1985345 
PR-000122 O PR    CAROLINA         18 26 27.00N 066 01 32.00W BLDG               1 00198 00201 R 1 A N 0072_SJ00072OE C 2001267 
PR-000123 O PR    HUMACAO          18 08 42.00N 065 48 48.00W TOWER              1 00159 00200 U 4 D U 0074_SJ00091OE C 2014124 
PR-000124 O PR    AUGUADA          18 19 24.00N 067 10 12.00W TOWER              1 00117 01216 N 5 E M                A 1976089 
PR-000125 O PR    SAN JUAN         18 26 37.00N 066 00 43.00W BLDG               1 00109 00115 U 3 C N 0070_SJ00051OE C 1990155 
PR-000126 O PR    PONCE            17 59 52.00N 066 37 13.00W BLDG               1 00218 00230 L 3 C M 0071_SJ00010OE C 1975251 
PR-000127 O PR    SAN JUAN         18 26 35.00N 066 01 25.00W BLDG               1 00194 00197 R 1 A N 0071_SJ00019OE C 2001267 
PR-000128 O PR    SAN JUAN         18 23 34.00N 066 00 11.00W BLDG               1 00201 00283 U 4 D N 0072_SJ00075OE C 2014124 
PR-000129 O PR    SAN JUAN         18 24 15.00N 065 59 01.00W BLDG               1 00168 00225 R 1 A N 0074_SJ00086OE C 2001267 
PR-000130 O PR    RIO PIEDRAS      18 24 14.00N 066 00 50.00W BLDG               2 00140 00201 R 1 A N 0075_SJ00131OE C 1994255 
PR-000131 O PR    MARICAO          18 08 58.00N 066 52 55.00W TOWER              1 00066 03199 U 4 D U 0075_SJ00052OE C 2014124 
PR-000132 O PR    RIO PIEDRAS      18 22 38.00N 066 01 39.00W BLDG               1 00175 00421 R 3 C N 0075_SJ00059OE C 1990183 
PR-000133 O PR    LUQUILLO         18 21 41.00N 065 44 23.00W TOWER              1 00403 00862 R 5 E M 1990ASO00189OE C 1995065 
PR-000134 O PR    SAN JUAN         18 24 32.00N 066 04 01.00W BLDG               2 00241 00257 L 3 C N 0072_SJ00001OE C 1990302 
PR-000136 O PR    PONCE            18 00 52.00N 066 36 36.00W BLDG               1 00150 00207 N 3 C N 0073_SJ00108OE C 1976307 
PR-000137 O PR    RIO PIEDRAS      18 24 28.00N 066 00 41.00W BLDG               2 00155 00189 R 1 A N 0075_SJ00098OE C 1994255 
PR-000138 O PR    CATANO           18 25 53.00N 066 07 28.00W TOWER              2 00256 00263 R 3 C M 0076_SJ00009OE C 1990309 
PR-000139 O PR    LUQUILLO         18 22 29.00N 065 42 49.00W BLDG               2 00208 00254 R 5 E N 0071_SJ00037OE C 1977342 
PR-000140 O PR    TOA ALTA         18 22 00.00N 066 15 16.00W TOWER              3 00240 00312 N 5 E N 0076_SJ00021OE C 1978146 
PR-000141 O PR    CAYEY            18 06 39.40N 066 03 05.00W TOWER              1 00215 03102 D 2 D N 2005ASO01366OE C 2005107 
PR-000142 O PR    SAN JUAN         18 25 55.00N 066 00 54.00W POLE               1 00031 00038 U 1 A N                C 2001267 
PR-000143 O PR    CULEBRA          18 19 32.00N 065 18 04.00W TOWER              1 00305 00813 R 3 C M 1991ASO00049OE C 1991252 
PR-000144 O PR    SAN JUAN         18 24 31.00N 066 03 28.00W BLDG               2 00222 00270 R 3 C N 0071_SJ00096OE C 1990317 
PR-000145 O PR    GUAYNABO         18 24 22.00N 066 06 29.00W BLDG               3 00240 00306 U 4 D N 0073_SJ00195OE C 2014124 
PR-000146 O PR    SANTURCE         18 26 40.94N 066 03 56.20W BLDG               1 00216 00276 R 1 B N 0073_SJ00137OE C 2015328 
PR-000147 O PR    TALLABOA         18 00 24.00N 066 43 42.00W STACK              1 00290 00313 R 3 C N 0074_SJ00094OE C 1996043 
PR-000148 O PR    CAUGAS           18 13 23.00N 066 02 43.00W BLDG               1 00210 00474 R 5 E N 0072_SJ00125OE A 1982076 
PR-000149 O PR    RIO PIEDRAS      18 22 46.00N 066 05 44.00W BLDG               1 00210 00390 R 3 C N 0072_SJ00053OE C 1990302 
PR-000150 O PR    CAROLINA         18 24 27.14N 065 58 45.25W BLDG               1 00206 00227 R 1 A N 2016ASO19903OE C 2018269 
PR-000151 O PR    HATO REY         18 25 03.63N 066 03 27.43W BLDG               1 00175 00207 N 1 B N 0075_SJ00039OE C 2015331 
PR-000152 O PR    RIO PIEDRAS      18 24 42.00N 066 01 38.00W BLDG               1 00170 00195 L 3 C N 0077_SJ00059OE C 1990302 
PR-000153 O PR    OROCOVIS         18 15 16.90N 066 24 58.50W TOWER              1 00183 02144 U 5 D U 0075_SJ00085OE C 2019241 
PR-000155 O PR    AGUAS BUENAS     18 16 43.00N 066 06 37.00W TOWER              1 00304 01967 D 2 D N 2001ASO00602OE C 2001183 
PR-000156 U PR    AGUADILLA        18 27 03.00N 067 08 43.00W BLDG               1 00200 00709 U     U                A 1981167 
PR-000157 O PR    MARICAO          18 09 08.00N 066 59 27.00W TOWER              1 00220 02975 N 5 E N 0086_SJ00045OE C 1990317 
PR-000158 O PR    SAN JUAN         18 25 31.79N 066 03 28.75W BLDG               1 00255 00265 R 1 B N 2004ASO04762OE C 2015334 
PR-000159 O PR    AGUIRRE          17 57 05.00N 066 13 44.00W STACK              4 00249 00259 R 2 C M                C 1981111 
PR-000160 O PR    AGUIRRE          17 57 11.00N 066 13 20.00W STACK              2 00225 00231 N 2 D N                A 1981278 
PR-000162 U PR    ARROYO           17 57 09.00N 066 02 54.00W TOWER              1 00200 00203 U     U                A 1981167 
PR-000163 O PR    PONCE            17 59 16.00N 066 37 20.00W TOWER              1 00201 00208 R 3 C M 2000ASO05174OE C 2000284 
PR-000164 O PR    HUMACAO          18 08 56.22N 065 49 09.32W TOWER              1 00214 00267 R 2 C P 2011ASO04822OE C 2018064 
PR-000165 O PR    SAN JUAN         18 25 34.47N 066 03 44.95W BLDG               1 00221 00231 R 1 B N 0080_SJ00090OE C 2015335 
PR-000166 O PR    SAN JUAN         18 27 25.00N 066 04 34.00W BLDG               1 00176 00181 R 1 A N 0079_SJ00027OE C 1993312 
PR-000167 O PR    PALMER VILLAGE   18 20 42.00N 065 47 02.00W TOWER              1 00406 01528 R 5 E M 0077_SJ00031OE A 1980365 
PR-000169 O PR    SAN JUAN         18 26 58.66N 066 04 01.80W BLDG               1 00227 00284 R 1 B N 0079_SJ00045OE C 2015335 
PR-000170 O PR    SAN JUAN         18 27 20.22N 066 04 56.33W BLDG               1 00152 00183 R 1 B N 0079_SJ00053OE C 2015335 
PR-000171 O PR    PONCE            17 59 17.12N 066 37 06.75W TOWER              1 00206 00223 R 5 E P 2007ASO06892OE C 2008081 
PR-000172 O PR    PONCE            18 00 45.90N 066 35 52.50W BLDG               1 00194 00259 R 2 C N 2008ASO01837OE C 2017135 
PR-000173 O PR    PENUELAS         17 59 43.00N 066 44 42.00W REFINERY           4 00283 00295 N 3 C N 0079_SJ00152OE C 1990282 
PR-000174 O PR    CEIBA            18 15 47.63N 065 38 50.47W TOWER              1 00160 00235 N 2 C N 2018ASO17660OE C 2018310 
PR-000176 O PR    CAMUY            18 28 41.11N 066 51 16.09W TOWER              1 00210 00482 M 1 A N 2012ASO03835OE C 2013198 
PR-000177 O PR    BAYAMON          18 21 31.00N 066 09 29.00W TOWER              2 00153 00284 N 5 D U                A 1982132 
PR-000179 O PR    JUNCOS           18 12 45.00N 065 54 27.00W TOWER              2 00314 00609 D 5 E N 2000ASO08963OE C 2001029 
PR-000181 O PR    CAMUY            18 28 08.00N 066 50 20.00W TOWER              3 00226 00452 R 5 D M 0081_SJ00004OE C 1991238 
PR-000182 O PR    SAN JUAN         18 26 54.78N 066 04 03.17W BLDG               1 00236 00286 R 1 B N 0080_SJ00069OE C 2015335 
PR-000183 O PR    RINCON           18 18 44.00N 067 11 29.00W TOWER              2 00362 01549 R 5 D M 0079_SJ00145OE C 1991301 
PR-000184 O PR    GUAYANILLA       18 00 06.00N 066 43 54.00W TOWER              1 00250 00254 R 3 D M 2002ASO06764OE C 2003152 
PR-000185 O PR    PENUELAS         17 59 42.00N 066 44 33.00W REFINERY           3 00265 00277 R 3 C N 0079_SJ00152OE C 1990282 
PR-000186 O PR    PENUELAS         18 00 00.00N 066 44 21.00W REFINERY           1 00206 00215 R 5 D N                A 1982025 
PR-000188 O PR    ENSENADA         17 58 06.00N 066 55 50.00W STACK              2 00225 00242 N 1 D N                A 1983082 
PR-000192 O PR    PONCE            18 00 18.00N 066 44 41.00W PLANT              2 00349 00402 R 5 E M                C 2000143 
PR-000194 O PR    QUEBRADILLA      18 26 31.00N 066 57 42.00W TOWER              2 00202 00796 N 5 E N 0082_SJ00082OE A 1987327 
