  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
56-021440 O US WY DIXON            41 02 10.68N 107 30 05.16W BLDG               1 00034 06507 U 1 A U                A 2013260 
56-021423 O US WY DIXON            41 02 10.70N 107 29 13.62W FENCE              1 00008 06533 U 1 A U                A 2013260 
56-021474 O US WY DIXON            41 02 11.69N 107 29 43.08W ELEC SYS           1 00003 06497 U 1 A U                A 2013260 
56-021439 O US WY DIXON            41 02 11.71N 107 30 04.88W FENCE              1 00012 06483 U 1 A U                A 2013260 
56-021433 O US WY DIXON            41 02 11.98N 107 29 54.60W FENCE              1 00007 06488 U 1 A U                A 2013260 
56-021422 O US WY DIXON            41 02 12.43N 107 29 13.83W FENCE              1 00003 06527 U 1 A U                A 2013260 
56-052778 O US WY CHEYENNE         41 02 12.68N 105 09 55.29W WINDMILL           1 00499 07742 W 4 D W 2020WTW01813OE C 2022049 
56-021436 O US WY DIXON            41 02 13.02N 107 29 59.88W FENCE              1 00014 06484 U 1 A U                A 2013260 
56-021478 O US WY DIXON            41 02 13.08N 107 29 56.46W POLE               1 00027 06500 U 1 A U                A 2013260 
56-021421 O US WY DIXON            41 02 13.49N 107 29 13.95W FENCE              1 00009 06534 U 1 A U                A 2013260 
56-021473 O US WY DIXON            41 02 13.59N 107 29 35.78W ELEC SYS           1 00002 06505 U 1 A U                A 2013260 
56-062154 O US WY CHEYENNE         41 02 14.05N 105 01 34.56W WINDMILL           1 00499 07229 W 4 D W 2018WTW15879OE C 2023264 
56-021420 O US WY DIXON            41 02 15.02N 107 29 14.07W FENCE              1 00009 06536 U 1 A U                A 2013260 
56-021425 O US WY DIXON            41 02 15.19N 107 29 19.26W FENCE              1 00009 06534 U 1 A U                A 2013260 
56-062156 U US WY CHEYENNE         41 02 15.31N 104 59 34.29W WINDMILL           1 00499 07168 W 4 D W 2018WTW15882OE A 2023037 
56-021419 O US WY DIXON            41 02 16.50N 107 29 14.23W FENCE              1 00013 06541 U 1 A U                A 2013260 
56-021477 O US WY DIXON            41 02 17.05N 107 29 12.11W FENCE              1 00009 06539 U 1 A U                A 2013260 
