  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-076443 U US MO BRIDGETON        38 44 51.91N 090 26 29.88W POLE               1 00120 00674 N 4 D N 2020ACE08285OE A 2021109 
29-083234 U US MO ST. CHARLES      38 44 52.35N 090 35 11.99W SIGN               1 00028 00576 N 4 D N 2020ACE04141OE A 2022229 
29-080105 U US MO KNOB NOSTER      38 44 52.46N 093 32 55.26W BLDG               1 00016 00888 N 4 D N 2021ACE02672OE A 2021243 
29-001178 O US MO NEW MELLE        38 44 52.97N 090 52 56.34W TOWER              1 00293 01007 D 2 C N 2003ACE01959OE C 2004158 
29-072731 U US MO MARYLAND HEIGHTS 38 44 53.19N 090 28 38.69W BLDG               1 00060 00506 N 4 D N 2018ACE04745OE A 2020035 
29-054850 U US MO SEDALIA          38 44 53.46N 093 12 10.49W T-L TWR            1 00100 00892 N 4 D N 2018ACE05584OE A 2018354 
29-080880 U US MO ST. ANN          38 44 53.58N 090 24 25.90W T-L TWR            1 00061 00591 N 4 D N 2019ACE08750OE A 2022032 
29-054852 U US MO SEDALIA          38 44 53.58N 093 12 10.00W T-L TWR            1 00102 00893 N 4 D N 2021ACE03156OE C 2022306 
29-023901 O US MO SAINT LOUIS      38 44 53.74N 090 21 09.29W POLE               1 00042 00581 U 1 A U                A 2014080 
29-083332 U US MO VIGUS            38 44 54.00N 090 25 32.00W TOWER              1 00080 00591 N 4 D N 2021ACE11217OE A 2024016 
29-021081 O US MO SAINT LOUIS      38 44 54.55N 090 14 26.71W TOWER              1 00170 00660 N 1 A N 2013ACE00019OE C 2013134 
29-082057 U US MO SEDALIA          38 44 55.02N 093 12 04.27W T-L TWR            1 00100 00872 N 4 D N 2021ACE03157OE A 2022306 
29-054853 U US MO SEDALIA          38 44 55.07N 093 12 04.20W T-L TWR            1 00097 00869 N 4 D N 2018ACE05587OE A 2018355 
29-023940 O US MO SAINT LOUIS      38 44 55.20N 090 22 40.20W BLDG               1 00016 00548 U 1 A U                A 2014080 
29-072644 U US MO ST. PETERS       38 44 55.29N 090 34 39.36W POLE               1 00045 00648 N 4 D N 2019ACE08572OE A 2020017 
29-023902 O US MO SAINT LOUIS      38 44 55.31N 090 21 53.91W POLE               1 00026 00566 U 1 A U                A 2014080 
29-080881 U US MO ST. ANN          38 44 55.71N 090 24 27.02W T-L TWR            1 00056 00603 N 4 D N 2019ACE08752OE A 2022032 
29-083235 U US MO ST. CHARLES      38 44 55.87N 090 34 40.43W SIGN               1 00034 00632 N 4 D N 2020ACE04142OE A 2022227 
29-076444 U US MO BRIDGETON        38 44 56.18N 090 26 24.24W POLE               1 00060 00625 N 4 D N 2020ACE08286OE A 2021109 
29-000055 O US MO AMERICUS         38 44 56.42N 091 37 08.70W TOWER              1 00500 01390 R 4 D P 2018ACE02720OE C 2018299 
29-023903 O US MO SAINT LOUIS      38 44 56.48N 090 22 51.27W POLE               1 00037 00574 U 1 A U                A 2014080 
29-081704 O US MO KNOB NOSTER      38 44 56.95N 093 34 30.53W TOWER              1 00205 00990 D 4 D N 2019ACE05865OE A 2022179 
29-072513 U US MO BRIDGETON        38 44 57.07N 090 23 46.31W BLDG               1 00038 00626 N 4 D N 2019ACE02469OE A 2020014 
29-082058 U US MO SEDALIA          38 44 57.19N 093 11 55.95W T-L TWR            1 00080 00881 N 4 D N 2021ACE03158OE A 2022306 
29-072688 U US MO BERKELEY         38 44 57.24N 090 20 15.13W POLE               1 00045 00613 N 4 D N 2019ACE08457OE A 2020041 
29-083239 U US MO ST. CHARLES      38 44 57.39N 090 34 31.19W SIGN               1 00029 00627 N 4 D N 2020ACE04146OE A 2022229 
29-023904 O US MO SAINT LOUIS      38 44 58.02N 090 22 34.45W POLE               1 00005 00536 U 1 A U                A 2014080 
29-023916 O US MO SAINT LOUIS      38 44 58.22N 090 21 50.34W TOWER              1 00038 00578 U 1 A U                A 2014080 
29-082059 U US MO SEDALIA          38 44 59.37N 093 11 47.51W T-L TWR            1 00075 00898 N 4 D N 2021ACE03159OE A 2022300 
29-023880 O US MO SAINT LOUIS      38 44 59.49N 090 22 45.32W AG EQUIP           1 00040 00573 U 1 A U                A 2014080 
29-081262 U US MO ST. ANN          38 44 59.66N 090 24 28.65W UTILITY POLE       1 00056 00612 N 4 D N 2019ACE08753OE A 2022088 
29-023905 O US MO SAINT LOUIS      38 44 59.84N 090 22 29.36W TOWER              1 00003 00537 U 1 A U                A 2014080 
29-080161 U US MO ST. ANN          38 44 59.85N 090 24 32.76W T-L TWR            1 00063 00577 N 4 D N 2019ACE08755OE A 2021200 
29-053651 U US MO FERGUSON         38 45 00.00N 090 17 11.00W UTILITY POLE       1 00102 00638 N 4 D N 2017ACE05556OE A 2017328 
29-080149 U US MO ST. ANN          38 45 00.35N 090 24 33.69W T-L TWR            1 00056 00614 N 4 D N 2019ACE08756OE A 2021243 
29-083236 U US MO ST. CHARLES      38 45 00.69N 090 34 01.58W SIGN               1 00030 00643 N 4 D N 2020ACE04143OE A 2022229 
29-080162 U US MO ST. ANN          38 45 00.79N 090 24 34.75W T-L TWR            1 00056 00575 N 4 D N 2019ACE08757OE A 2021200 
29-080137 U US MO ST. ANN          38 45 00.86N 090 24 30.86W T-L TWR            1 00063 00607 N 4 D N 2019ACE08754OE A 2021243 
29-072178 U US MO ASHLAND          38 45 00.97N 092 07 37.89W T-L TWR            1 00061 00843 N 4 D N 2019ACE01391OE A 2019336 
29-002059 O US MO PRAIRIE HOME     38 45 01.00N 092 33 32.00W TOWER              1 00996 01742 R 5 D P 2015ACE03519OE C 2016235 
29-080087 U US MO ST. ANN          38 45 01.19N 090 24 35.89W T-L TWR            1 00056 00574 N 4 D N 2019ACE08758OE A 2021239 
29-082060 U US MO SEDALIA          38 45 01.56N 093 11 39.03W T-L TWR            1 00095 00918 N 4 D N 2021ACE03160OE A 2022300 
29-080119 U US MO ST. ANN          38 45 01.58N 090 24 37.24W T-L TWR            1 00056 00572 N 4 D N 2019ACE08759OE A 2021243 
29-080156 U US MO ST. ANN          38 45 01.95N 090 24 38.36W T-L TWR            1 00056 00566 N 4 D N 2019ACE08760OE A 2021200 
29-023963 O US MO SAINT LOUIS      38 45 02.02N 090 21 59.42W ELEC SYS           1 00007 00538 U 1 A U                A 2014080 
29-000474 O US MO BERKELEY         38 45 02.40N 090 20 51.40W BLDG               1 00130 00720 R 4 D N 2023ACE00775OE C 2023348 
29-080091 U US MO ST. ANN          38 45 02.56N 090 24 40.68W T-L TWR            1 00056 00567 N 4 D N 2019ACE08761OE A 2021242 
29-050860 U US MO MOLINE ACRES     38 45 03.15N 090 15 20.31W POLE               1 00100 00577 N 1 A N 2016ACE00152OE A 2018026 
29-080139 U US MO ST. ANN          38 45 03.43N 090 24 43.46W T-L TWR            1 00056 00568 N 4 D N 2019ACE08762OE A 2021243 
29-020732 O US MO BRIDGETON        38 45 03.69N 090 25 29.46W TOWER              1 00100 00612 N 1 A N 2011ACE01507OE A 2012199 
29-080135 U US MO ST. ANN          38 45 03.95N 090 24 45.45W T-L TWR            1 00056 00566 N 4 D N 2019ACE08763OE A 2021243 
29-001092 O US MO AMERICUS         38 45 04.00N 091 37 10.00W TOWER              1 00283 01188 R 5 E M 1983ACE00004OE C 2014138 
29-021184 O US MO BERKELEY         38 45 04.00N 090 20 35.00W TOWER              1 00075 00655 N 5 D N 2013ACE02063OE A 2013254 
29-023917 O US MO SAINT LOUIS      38 45 04.07N 090 21 48.38W POLE               1 00010 00538 U 1 A U                A 2014080 
29-072642 U US MO ST. PETERS       38 45 04.61N 090 33 46.93W POLE               1 00055 00680 N 4 D N 2019ACE08571OE A 2020017 
29-080132 U US MO ST. ANN          38 45 04.70N 090 24 47.69W T-L TWR            1 00056 00561 N 4 D N 2019ACE08764OE A 2021243 
29-082061 U US MO SEDALIA          38 45 04.70N 093 11 26.87W T-L TWR            1 00095 00919 N 4 D N 2021ACE03161OE C 2022305 
29-080118 U US MO ST. ANN          38 45 05.32N 090 24 50.47W T-L TWR            1 00056 00563 N 4 D N 2019ACE08765OE A 2021243 
29-077062 U US MO ST. CHARLES      38 45 05.38N 090 33 42.01W SIGN               1 00027 00669 N     N 2020ACE03677OE A 2021180 
29-076278 U US MO ST. PETERS       38 45 05.66N 090 33 47.14W T-L TWR            1 00112 00736 N 4 D N 2020ACE01589OE A 2021057 
29-025263 O US MO WRIGHT CITY      38 45 05.73N 090 58 14.46W TOWER              1 00204 01008 D 4 E N 2016ACE01664OE A 2017095 
29-080080 U US MO ST. ANN          38 45 05.84N 090 24 52.32W T-L TWR            1 00056 00562 N 4 D N 2019ACE08766OE A 2021239 
29-081591 U US MO ST. LOUIS        38 45 06.00N 090 23 45.07W POLE               1 00007 00564 N 4 D N 2021ACE11786OE A 2023095 
29-006151 U US MO BRIDGETON        38 45 06.00N 090 28 39.00W T-L TWR            1 00117 00560 U     U                A 1977062 
29-081588 U US MO ST. LOUIS        38 45 06.19N 090 23 43.72W POLE               1 00007 00560 N 4 D N 2021ACE11783OE A 2023090 
29-080213 U US MO ST. CHARLES      38 45 06.20N 090 33 29.00W POLE               1 00045 00668 N 4 D N 2020ACE03657OE A 2021210 
29-080400 U US MO ST. CHARLES      38 45 06.30N 090 33 30.06W SIGN               1 00030 00654 N 4 D N 2020ACE03678OE A 2021309 
29-080399 O US MO ST. CHARLES      38 45 06.48N 090 33 24.50W POLE               1 00045 00661 N 4 D N 2020ACE03658OE A 2021309 
29-080120 U US MO ST. ANN          38 45 06.58N 090 24 55.05W T-L TWR            1 00056 00559 N 4 D N 2019ACE08767OE A 2021243 
29-080210 U US MO ST. CHARLES      38 45 06.66N 090 33 36.63W POLE               1 00045 00678 N 4 D N 2020ACE03654OE A 2021210 
29-080078 U US MO ST. ANN          38 45 07.09N 090 24 57.20W T-L TWR            1 00056 00576 N 4 D N 2019ACE08768OE A 2021242 
29-082062 U US MO SEDALIA          38 45 07.21N 093 11 17.16W T-L TWR            1 00085 00919 N 4 D N 2021ACE03162OE A 2022304 
29-001138 O US MO ST. PETERS       38 45 07.30N 090 37 22.60W TOWER              1 00505 00970 R 2 C P 1999ACE00789OE C 2017304 
29-080082 U US MO ST. ANN          38 45 07.38N 090 24 58.28W T-L TWR            1 00056 00563 N 4 D N 2019ACE08769OE A 2021239 
29-023954 O US MO SAINT LOUIS      38 45 07.76N 090 22 54.65W ELEC SYS           1 00059 00590 U 1 A U                A 2014080 
29-080211 U US MO ST. CHARLES      38 45 08.06N 090 33 29.39W POLE               1 00045 00666 N 4 D N 2020ACE03655OE A 2021210 
29-023886 O US MO SAINT LOUIS      38 45 08.09N 090 21 56.33W GEN UTIL           1 00007 00535 U 1 A U                A 2014080 
29-080117 U US MO ST. ANN          38 45 08.22N 090 25 00.61W T-L TWR            1 00056 00555 N 4 D N 2019ACE08770OE A 2021243 
29-083237 U US MO ST. CHARLES      38 45 08.58N 090 33 15.76W SIGN               1 00021 00627 N 4 D N 2020ACE04144OE A 2022229 
29-080085 U US MO ST. ANN          38 45 08.60N 090 25 01.63W T-L TWR            1 00056 00551 N 4 D N 2019ACE08771OE A 2021239 
29-023906 O US MO SAINT LOUIS      38 45 08.87N 090 22 24.96W TOWER              1 00054 00587 U 1 A U                A 2014080 
29-080101 U US MO ST. ANN          38 45 08.87N 090 25 02.81W T-L TWR            1 00056 00588 N 4 D N 2019ACE08772OE C 2021334 
29-050595 U US MO ST. PETERS       38 45 09.26N 090 32 58.28W POLE               1 00108 00735 N 1 A N 2013ACE03025OE A 2018026 
29-080143 U US MO ST. ANN          38 45 09.27N 090 25 04.31W T-L TWR            1 00056 00563 N 4 D N 2019ACE08773OE A 2021243 
29-080095 U US MO ST. CHARLES      38 45 09.46N 090 33 12.28W UTILITY POLE       1 00020 00646 N 4 D N 2020ACE03664OE A 2021242 
29-083430 O US MO HARVESTER        38 45 09.56N 090 31 52.05W TOWER              1 00164 00699 N 1 A N 2022ACE00221OE A 2023122 
29-083238 U US MO ST. CHARLES      38 45 09.78N 090 33 14.10W SIGN               1 00030 00637 N 4 D N 2020ACE04145OE A 2022229 
29-080130 U US MO ST. ANN          38 45 09.90N 090 25 06.63W T-L TWR            1 00056 00563 N 4 D N 2019ACE08774OE A 2021243 
29-082063 U US MO SEDALIA          38 45 10.03N 093 11 06.26W T-L TWR            1 00085 00918 N 4 D N 2021ACE03163OE A 2022305 
29-080112 U US MO ST. ANN          38 45 10.54N 090 25 08.78W T-L TWR            1 00056 00564 N 4 D N 2019ACE08775OE A 2021243 
29-023944 O US MO SAINT LOUIS      38 45 10.59N 090 22 21.04W BLDG               1 00017 00547 U 1 A U                A 2014080 
29-080212 U US MO ST. CHARLES      38 45 10.67N 090 33 19.91W POLE               1 00045 00659 N 4 D N 2020ACE03656OE A 2021210 
29-080102 U US MO ST. ANN          38 45 11.02N 090 25 10.42W T-L TWR            1 00056 00559 N 4 D N 2019ACE08776OE C 2021334 
29-080398 U US MO ST. CHARLES      38 45 11.34N 090 33 18.37W SIGN               1 00029 00647 N 4 D N 2020ACE03679OE A 2021309 
29-023887 O US MO SAINT LOUIS      38 45 11.41N 090 22 08.81W NAVAID             1 00007 00537 U 1 A U                A 2014080 
29-023881 O US MO SAINT LOUIS      38 45 11.43N 090 22 08.82W NAVAID             1 00007 00537 U 1 A U                A 2014080 
29-080138 U US MO ST. ANN          38 45 11.46N 090 25 12.03W T-L TWR            1 00056 00559 N 4 D N 2019ACE08777OE A 2021243 
29-080152 U US MO ST. ANN          38 45 11.76N 090 25 13.14W T-L TWR            1 00056 00561 N 4 D N 2019ACE08778OE A 2021242 
29-080154 U US MO ST. ANN          38 45 12.24N 090 25 14.72W T-L TWR            1 00056 00560 N 4 D N 2019ACE08779OE A 2021200 
29-082064 U US MO SEDALIA          38 45 12.31N 093 10 57.43W T-L TWR            1 00075 00918 N 4 D N 2021ACE03164OE A 2022305 
29-083469 U US MO BRIDGETON        38 45 12.59N 090 26 33.66W TOWER              1 00105 00682 N 4 D N 2022ACE00335OE A 2023172 
29-080163 U US MO ST. ANN          38 45 12.66N 090 25 16.69W T-L TWR            1 00056 00549 N 4 D N 2019ACE08780OE A 2021200 
29-080094 U US MO ST. CHARLES      38 45 12.84N 090 33 13.71W UTILITY POLE       1 00020 00640 N 4 D N 2020ACE03663OE A 2021242 
29-025206 O US MO SEDALIA          38 45 12.99N 093 20 06.15W TOWER              1 00240 01046 D 1 A N 2014ACE01368OE A 2016348 
29-080108 U US MO ST. ANN          38 45 13.43N 090 25 19.62W T-L TWR            1 00061 00553 N 4 D N 2019ACE08781OE A 2021242 
29-023907 O US MO SAINT LOUIS      38 45 13.62N 090 21 37.59W TOWER              1 00049 00577 U 1 A U                A 2014080 
29-080115 U US MO ST. ANN          38 45 13.93N 090 25 21.44W T-L TWR            1 00061 00548 N 4 D N 2019ACE08782OE A 2021243 
29-023360 O US MO FERGUSON         38 45 14.04N 090 18 34.27W TOWER              1 00110 00677 N 2 C N 2004ACE00330OE A 2014084 
29-082075 U US MO COFFEYVILLE      38 45 14.10N 093 10 50.47W T-L TWR            1 00075 00918 N 4 D N 2021ACE03165OE A 2022250 
29-023888 O US MO SAINT LOUIS      38 45 14.12N 090 22 07.91W NAVAID             1 00021 00550 U 1 A U                A 2014080 
29-023882 O US MO SAINT LOUIS      38 45 14.72N 090 22 08.06W NAVAID             1 00020 00549 U 1 A U                A 2014080 
29-083791 U US MO BERKELEY         38 45 14.99N 090 20 48.11W BLDG               1 00074 00625 N 4 D N 2021ACE11657OE A 2023347 
29-006152 U US MO BRIDGETON        38 45 15.00N 090 28 44.00W T-L TWR            1 00117 00560 U     U                A 1977062 
29-080104 U US MO ST. ANN          38 45 15.04N 090 25 25.17W T-L TWR            1 00056 00551 N 4 D N 2019ACE08783OE A 2021243 
29-023965 O US MO SAINT LOUIS      38 45 15.53N 090 22 30.91W POLE               1 00020 00569 U 1 A U                A 2014080 
29-080096 U US MO ST. ANN          38 45 15.74N 090 25 27.72W T-L TWR            1 00056 00548 N 4 D N 2019ACE08784OE A 2021250 
29-023356 O US MO MOLINE ACRES     38 45 15.78N 090 14 28.35W TOWER              1 00100 00572 N 2 C N 2004ACE00197OE A 2014084 
29-080110 U US MO ST. ANN          38 45 16.32N 090 25 29.70W T-L TWR            1 00056 00553 N 4 D N 2019ACE08785OE A 2021242 
29-082065 U US MO SEDALIA          38 45 16.47N 093 10 41.32W T-L TWR            1 00075 00932 N 4 D N 2021ACE03166OE A 2022305 
29-020888 O US MO BERKELEY         38 45 16.67N 090 19 54.56W TOWER              1 00128 00662 N 1 A N 2010ACE03014OE A 2012313 
29-080128 U US MO ST. ANN          38 45 17.28N 090 25 31.59W T-L TWR            1 00056 00542 N 4 D N 2019ACE08786OE A 2021243 
29-023936 O US MO SAINT LOUIS      38 45 17.29N 090 22 51.53W NAVAID             1 00008 00558 U 1 A U                A 2014080 
29-023918 O US MO SAINT LOUIS      38 45 17.55N 090 22 13.02W POLE               1 00027 00560 U 1 A U                A 2014080 
29-023908 O US MO SAINT LOUIS      38 45 17.57N 090 23 07.28W POLE               1 00039 00585 U 1 A U                A 2014080 
29-050806 U US MO BERKELEY         38 45 17.66N 090 20 38.33W STACK              1 00079 00642 N 4 D N 2015ACE03477OE A 2018027 
29-072643 U US MO ST. CHARLES      38 45 17.70N 090 32 44.45W POLE               1 00055 00658 N 4 D N 2019ACE08560OE A 2020017 
29-023964 O US MO SAINT LOUIS      38 45 17.83N 090 22 16.98W POLE               1 00025 00560 U 1 A U                A 2014080 
29-051019 U US MO ST. LOUIS        38 45 18.19N 090 14 29.08W POLE               1 00120 00600 N 4 D N 2016ACE04016OE A 2018026 
29-002535 O US MO ST. LOUIS        38 45 18.22N 090 16 42.27W TOWER              1 00178 00728 N 4 D N 2022ACE02429OE C 2023244 
29-080127 U US MO ST. ANN          38 45 18.35N 090 25 33.33W T-L TWR            1 00056 00549 N 4 D N 2019ACE08787OE A 2021243 
29-082066 U US MO SEDALIA          38 45 18.41N 093 10 33.92W T-L TWR            1 00087 00955 N 4 D N 2021ACE03167OE A 2022306 
29-023955 O US MO SAINT LOUIS      38 45 19.60N 090 22 08.58W ELEC SYS           1 00034 00567 U 1 A U                A 2014080 
29-023966 O US MO SAINT LOUIS      38 45 19.75N 090 22 38.15W POLE               1 00046 00599 U 1 A U                A 2014080 
29-080098 U US MO ST. ANN          38 45 19.83N 090 25 35.20W T-L TWR            1 00056 00551 N 4 D N 2019ACE08788OE C 2021334 
29-075372 U US MO BERKELEY         38 45 19.84N 090 20 07.48W UTILITY POLE       1 00061 00603 N 4 D N 2019ACE01872OE A 2020232 
29-075373 U US MO BERKELEY         38 45 20.12N 090 20 08.70W UTILITY POLE       1 00080 00619 N 4 D N 2019ACE01873OE A 2020237 
29-024683 O US MO ST PETERS        38 45 20.50N 090 37 22.00W TOWER              1 00405 00887 D 2 C N 2012ACE03408OE A 2014121 
29-075371 U US MO BERKELEY         38 45 20.82N 090 20 35.02W UTILITY POLE       1 00052 00607 N 4 D N 2019ACE01871OE A 2020232 
29-023956 O US MO SAINT LOUIS      38 45 20.86N 090 21 11.29W GEN UTIL           1 00022 00573 R 1 A U                A 2014080 
29-082076 U US MO COFFEYVILLE      38 45 21.11N 093 10 25.57W T-L TWR            1 00078 00954 N 4 D N 2021ACE03168OE A 2022241 
29-023957 O US MO SAINT LOUIS      38 45 21.36N 090 22 23.33W POLE               1 00033 00576 U 1 A U                A 2014080 
29-076370 U US MO BRIDGETON        38 45 21.38N 090 27 29.54W POLE               1 00060 00497 N 4 D N 2020ACE07980OE A 2021069 
29-080103 U US MO ST. ANN          38 45 21.45N 090 25 36.83W T-L TWR            1 00056 00541 N 4 D N 2019ACE08789OE C 2021334 
29-023909 O US MO SAINT LOUIS      38 45 21.66N 090 21 49.02W POLE               1 00032 00560 U 1 A U                A 2014080 
29-001403 O US MO ST. LOUIS        38 45 22.00N 090 22 17.00W BLDG               1 00054 00582 R 1 A N                C 2014138 
29-006153 U US MO BRIDGETON        38 45 22.00N 090 28 49.00W T-L TWR            1 00120 00568 U     U                A 1977062 
29-073037 U US MO BERKELEY         38 45 22.10N 090 20 38.40W BLDG               1 00024 00585 N 4 D N 2018ACE04134OE A 2020055 
29-081590 U US MO ST. LOUIS        38 45 22.26N 090 23 43.64W POLE               1 00007 00554 N 4 D N 2021ACE11784OE A 2023090 
29-050801 U US MO ST. LOUIS        38 45 22.51N 090 18 44.42W TOWER              1 00110 00700 N 4 D N 2021ACE10871OE C 2022311 
29-081589 U US MO ST. LOUIS        38 45 22.79N 090 23 44.89W POLE               1 00007 00556 N 4 D N 2021ACE11785OE A 2023095 
29-001404 O US MO ST. LOUIS        38 45 23.00N 090 21 08.00W POLE               1 00028 00568 R 1 A U                C 2014138 
29-080146 U US MO ST. ANN          38 45 23.08N 090 25 38.64W T-L TWR            1 00061 00530 N 4 D N 2019ACE08790OE A 2021243 
29-023883 O US MO SAINT LOUIS      38 45 23.28N 090 21 07.73W NAVAID             1 00020 00568 U 1 A U                A 2014080 
29-083439 U US MO BERKELEY         38 45 23.30N 090 20 41.06W BLDG               1 00054 00593 N 4 D N 2021ACE05630OE A 2023062 
29-083434 U US MO BERKELEY         38 45 23.37N 090 20 45.52W BLDG               1 00034 00573 N 4 D N 2021ACE05650OE A 2023047 
29-080097 U US MO ST. ANN          38 45 23.68N 090 25 38.82W T-L TWR            1 00066 00545 N 4 D N 2019ACE08791OE C 2021334 
29-021964 O US MO SEDALIA          38 45 23.85N 093 10 16.93W T-L TWR            1 00066 00959 U 1 A U                A 2013345 
29-082068 U US MO SEDALIA          38 45 23.99N 093 10 16.80W T-L TWR            1 00074 00968 N 4 D N 2021ACE03169OE A 2022300 
29-006131 U US MO BRIDGETON        38 45 24.00N 090 26 22.00W TOWER              1 00170 00705 U 4 D U 1970ACE00462OE C 2014124 
29-000540 O US MO KNOB NOSTER      38 45 24.00N 093 37 47.00W TOWER              1 00270 01172 R 5 D M 1994ACE00151OE C 2014138 
29-080151 U US MO ST. ANN          38 45 24.19N 090 25 39.26W T-L TWR            1 00075 00554 N 4 D N 2019ACE08792OE A 2021243 
29-083444 U US MO BERKELEY         38 45 24.45N 090 20 39.12W BLDG               1 00016 00555 N 4 D N 2021ACE05657OE A 2023062 
29-023941 O US MO SAINT LOUIS      38 45 24.70N 090 20 53.37W BLDG               1 00060 00598 U 1 A U                A 2014080 
29-023958 O US MO SAINT LOUIS      38 45 24.86N 090 21 40.52W POLE               1 00031 00559 U 1 A U                A 2014080 
29-001402 O US MO ST. LOUIS        38 45 25.00N 090 22 13.00W BLDG               1 00081 00611 R 1 A N                C 2014138 
29-075885 U US MO BERKELEY         38 45 25.58N 090 20 39.07W BLDG               1 00055 00594 N 4 D N 2019ACE02387OE C 2023068 
29-075374 U US MO BERKELEY         38 45 25.81N 090 20 33.22W UTILITY POLE       1 00080 00620 N 4 D N 2019ACE01874OE A 2020237 
29-080134 O US MO ST. ANN          38 45 25.90N 090 25 40.87W T-L TWR            1 00066 00558 N 1 A N 2019ACE08793OE C 2024039 
29-023942 O US MO SAINT LOUIS      38 45 25.94N 090 22 08.03W BLDG               1 00099 00635 U 1 A U                A 2014080 
29-001129 O US MO PECULIAR         38 45 26.00N 094 26 04.00W TOWER              1 00843 01859 R 1 D M 1983ACE00610OE C 2014138 
29-001486 O US MO KNOB NOBSTER     38 45 26.00N 093 37 47.80W TOWER              1 00411 01309 D 5 D N 2013ACE03569OE C 2014237 
29-075375 U US MO BERKELEY         38 45 26.14N 090 20 34.76W UTILITY POLE       1 00080 00623 N 4 D N 2019ACE01875OE A 2020237 
29-021965 O US MO SEDALIA          38 45 26.35N 093 10 09.56W T-L TWR            1 00060 00952 U 1 A U                A 2013345 
29-082067 U US MO SEDALIA          38 45 26.43N 093 10 09.33W T-L TWR            1 00074 00968 N 4 D N 2021ACE03170OE A 2022300 
29-075370 U US MO BERKELEY         38 45 26.60N 090 20 36.60W UTILITY POLE       1 00057 00599 N 4 D N 2018ACE10194OE A 2020232 
29-023920 O US MO SAINT LOUIS      38 45 26.75N 090 22 38.26W POLE               1 00026 00595 U 1 A U                A 2014080 
29-023943 O US MO SAINT LOUIS      38 45 26.95N 090 21 37.24W BLDG               1 00032 00560 U 1 A U                A 2014080 
29-080147 O US MO ST. ANN          38 45 27.33N 090 25 42.24W T-L TWR            1 00061 00554 N 1 A N 2019ACE08794OE C 2024039 
29-076369 U US MO BRIDGETON        38 45 27.38N 090 22 36.43W POLE               1 00030 00589 N 4 D N 2020ACE07986OE A 2021069 
29-088935 U US MO KNOB NOSTER      38 45 28.50N 093 34 29.62W TOWER              1 00140 00949 N 4 D N 2021ACE11681OE A 2023208 
29-080122 O US MO ST. ANN          38 45 28.94N 090 25 43.81W T-L TWR            1 00061 00552 N 1 A N 2019ACE08795OE C 2024039 
29-082077 U US MO SEDALIA          38 45 29.36N 093 10 00.38W T-L TWR            1 00078 00963 N 4 D N 2021ACE03171OE A 2022354 
29-072615 U US MO BRIDGETON        38 45 29.45N 090 25 59.22W POLE               1 00045 00558 N 4 D N 2019ACE08461OE A 2020014 
29-023910 O US MO SAINT LOUIS      38 45 29.69N 090 20 59.63W POLE               1 00040 00571 U 1 A U                A 2014080 
29-023911 O US MO SAINT LOUIS      38 45 29.87N 090 21 20.99W SIGN               1 00021 00551 U 1 A U                A 2014080 
29-023884 O US MO SAINT LOUIS      38 45 29.88N 090 21 03.73W FENCE              1 00037 00569 U 1 A U                A 2014080 
29-080311 U US MO BERKELEY         38 45 30.00N 090 20 13.00W UTILITY POLE       1 00051 00576 N 4 D N 2019ACE06045OE A 2021267 
29-080319 U US MO ST LOUIS         38 45 30.00N 090 20 16.00W UTILITY POLE       1 00076 00601 N 4 D N 2019ACE05872OE A 2021267 
29-006154 U US MO BRIDGETON        38 45 31.00N 090 28 43.00W T-L TWR            1 00111 00555 U     U                A 1977062 
29-080312 U US MO BERKELEY         38 45 31.01N 090 20 16.28W UTILITY POLE       1 00052 00577 N 4 D N 2019ACE06077OE A 2021267 
29-023357 O US MO BERKELEY         38 45 31.05N 090 20 17.64W TOWER              1 00100 00627 N 2 C N 2004ACE00198OE A 2014084 
29-054871 U US MO FERGUSON         38 45 31.77N 090 17 23.93W TOWER              1 00112 00712 N 4 D N 2020ACE01086OE C 2020070 
29-080113 O US MO ST. ANN          38 45 31.87N 090 25 46.63W T-L TWR            1 00088 00579 N 1 A N 2019ACE08796OE C 2024039 
29-082069 U US MO SEDALIA          38 45 32.09N 093 09 52.06W T-L TWR            1 00078 00953 N 4 D N 2021ACE03172OE A 2022300 
29-021145 O US MO ST CHARLES       38 45 32.27N 090 42 43.14W TOWER              1 00104 00688 N 5 D N 2013ACE03193OE C 2013344 
29-072193 U US MO HAZELWOOD        38 45 32.28N 090 22 24.30W UTILITY POLE       1 00039 00594 N 4 D N 2019ACE02074OE A 2019329 
29-023919 O US MO SAINT LOUIS      38 45 32.87N 090 22 28.98W POLE               1 00050 00610 U 1 A U                A 2014080 
29-072428 U US MO HAZELWOOD        38 45 33.28N 090 21 22.92W POLE               1 00021 00554 N 4 D N 2018ACE07384OE A 2019337 
29-073214 U US MO HAZELWOOD        38 45 33.47N 090 21 22.08W BLDG               1 00021 00551 N 4 D N 2020ACE01411OE A 2020079 
29-004035 O US MO LA MONTE         38 45 33.80N 093 25 32.50W TOWER              1 00440 01300 M 5 D N 2006ACE02277OE C 2012137 
29-002693 O US MO BERKELEY         38 45 34.18N 090 20 27.59W POLE               1 00098 00625 D 1 A N 2007ACE01153OE C 2007322 
