  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
19-025329 O US IA FORT MADISON     40 39 12.75N 091 19 08.33W POLE               1 00056 00772 U 1 A U                A 2013330 
19-050816 U US IA FORT MADISON     40 39 12.80N 091 17 59.30W TOWER              1 00120 00832 N 4 D N 2014ACE01906OE A 2018024 
19-025294 O US IA FORT MADISON     40 39 13.09N 091 19 35.33W NAVAID             1 00002 00716 U 1 A U                A 2013330 
19-059831 O US IA BEDFORD          40 39 13.17N 094 48 15.39W WINDMILL           1 00499 01702 W 4 D W 2019WTE08910OE A 2020174 
19-025293 O US IA FORT MADISON     40 39 13.58N 091 19 32.47W NAVAID             1 00002 00716 U 1 A U                A 2013330 
19-060301 O US IA BEDFORD          40 39 13.68N 094 53 02.54W WINDMILL           1 00499 01701 W 4 D W 2019WTE08934OE A 2020290 
19-002081 O US IA DONNELLSON       40 39 15.00N 091 34 12.00W TOWER              1 00310 01000 D 2 C N 2001ACE02509OE C 2002259 
19-002842 U US IA MILTON           40 39 15.10N 092 06 39.60W TOWER              1 00310 01107 D 4 D N 2005ACE01887OE C 2014124 
19-060277 O US IA BEDFORD          40 39 15.96N 094 51 23.65W WINDMILL           1 00499 01564 W 4 D W 2019WTE08899OE A 2020267 
19-025295 O US IA FORT MADISON     40 39 18.06N 091 19 36.53W NAVAID             1 00005 00720 U 1 A U                A 2013330 
19-001987 O US IA FT. MADISON      40 39 21.50N 091 16 30.70W TOWER              1 00205 00909 D 2 C N 2022ACE06504OE C 2023045 
19-001224 O US IA BEDFORD          40 39 23.32N 094 38 36.48W TOWER              1 00412 01666 D 1 A N 2022ACE06424OE C 2023130 
19-020134 O US IA BLOOMFIELD       40 39 26.62N 092 30 32.83W TOWER              1 00309 01226 D 2 C N 2007ACE03666OE C 2008135 
