  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
17-080101 U US IL METROPOLIS       37 10 01.20N 088 44 45.20W POLE               1 00050 00426 N 4 D N 2019AGL17959OE A 2021102 
17-027668 O US IL METROPOLIS       37 10 14.41N 088 45 28.88W BLDG               1 00066 00443 U 1 A U                A 2014014 
17-027666 O US IL METROPOLIS       37 10 15.28N 088 44 57.49W POLE               1 00035 00410 U 1 A U                A 2014014 
17-027678 O US IL METROPOLIS       37 10 16.00N 088 45 22.00W BLDG               1 00087 00461 U 1 A U                A 2014014 
17-027677 O US IL METROPOLIS       37 10 16.30N 088 45 23.15W STACK              1 00159 00533 U 1 A U                A 2014014 
17-027665 O US IL METROPOLIS       37 10 17.05N 088 45 21.94W BLDG               1 00088 00462 U 1 A U                A 2014014 
17-080100 U US IL METROPOLIS       37 10 17.80N 088 45 04.80W TOWER              1 00039 00419 N 4 D N 2019AGL17958OE A 2021102 
17-060553 U US IL METROPOLIS       37 10 19.78N 088 45 18.30W POLE               1 00065 00440 N 1 A N 2014AGL06110OE A 2018026 
17-027664 O US IL METROPOLIS       37 10 22.54N 088 45 10.60W POLE               1 00061 00433 U 1 A U                A 2014014 
17-001499 O US IL FAYVILLE         37 10 23.00N 089 26 30.00W CATENARY           1 00207 00512 N 5 E N                C 2014138 
17-002997 O US IL METROPOLIS       37 10 23.00N 088 41 43.00W TOWER              1 00208 00585 D 5 D N 2000AGL07545OE C 2003075 
17-027667 O US IL METROPOLIS       37 10 23.80N 088 45 25.37W POLE               1 00055 00432 U 1 A U                A 2014014 
17-027663 O US IL METROPOLIS       37 10 24.64N 088 45 13.16W POLE               1 00057 00429 U 1 A U                A 2014014 
17-001791 O US IL METROPOLIS       37 10 25.00N 088 42 29.00W TOWER              1 00376 00718 R 5 D M 1988AGL00282OE C 2014138 
17-027662 O US IL METROPOLIS       37 10 25.58N 088 45 08.84W POLE               1 00037 00408 U 1 A U                A 2014014 
17-082686 O US IL METROPOLIS       37 10 25.90N 088 41 43.40W TOWER              1 00217 00596 D 4 D N 2020AGL05142OE A 2021132 
17-027661 O US IL METROPOLIS       37 10 26.68N 088 45 14.02W POLE               1 00032 00405 U 1 A U                A 2014014 
17-027660 O US IL METROPOLIS       37 10 26.75N 088 45 09.42W POLE               1 00038 00409 U 1 A U                A 2014014 
17-027659 O US IL METROPOLIS       37 10 26.86N 088 45 15.59W POLE               1 00062 00435 U 1 A U                A 2014014 
17-001500 O US IL FAYVILLE         37 10 27.00N 089 26 25.00W CATENARY           1 00295 00600 N 5 E N                C 2014138 
17-027658 O US IL METROPOLIS       37 10 27.06N 088 44 50.97W POLE               1 00041 00402 U 1 A U                A 2014014 
17-027657 O US IL METROPOLIS       37 10 27.83N 088 45 15.22W POLE               1 00040 00414 U 1 A U                A 2014014 
17-027656 O US IL METROPOLIS       37 10 28.92N 088 45 12.42W POLE               1 00029 00402 U 1 A U                A 2014014 
17-027655 O US IL METROPOLIS       37 10 30.55N 088 45 16.24W POLE               1 00045 00419 U 1 A U                A 2014014 
17-027654 O US IL METROPOLIS       37 10 31.23N 088 44 50.88W POLE               1 00040 00410 U 1 A U                A 2014014 
17-001315 O US IL MCCLURE          37 10 33.00N 089 26 21.00W T-L TWR            1 00398 00738 D 5 E N 1999AGL05549OE C 2014138 
17-027653 O US IL METROPOLIS       37 10 33.46N 088 45 10.96W BLDG               1 00019 00391 U 1 A U                A 2014014 
17-027652 O US IL METROPOLIS       37 10 35.42N 088 44 50.79W POLE               1 00037 00408 U 1 A U                A 2014014 
17-080099 U US IL METROPOLIS       37 10 35.80N 088 45 25.70W TOWER              1 00050 00429 N 4 D N 2019AGL17944OE A 2021102 
17-027651 O US IL METROPOLIS       37 10 36.31N 088 45 09.31W BLDG               1 00024 00395 U 1 A U                A 2014014 
17-027595 O US IL METROPOLIS       37 10 37.32N 088 44 53.57W BLDG               1 00014 00380 U 1 A U                A 2014014 
17-027596 O US IL METROPOLIS       37 10 40.56N 088 45 10.06W BLDG               1 00022 00392 U 1 A U                A 2014014 
17-027597 O US IL METROPOLIS       37 10 40.65N 088 45 14.45W POLE               1 00033 00405 U 1 A U                A 2014014 
17-027598 O US IL METROPOLIS       37 10 41.24N 088 45 11.40W BLDG               1 00021 00392 U 1 A U                A 2014014 
17-027599 O US IL METROPOLIS       37 10 41.56N 088 45 10.16W BLDG               1 00011 00382 U 1 A U                A 2014014 
17-027600 O US IL METROPOLIS       37 10 42.49N 088 45 13.20W FENCE              1 00005 00377 U 1 A U                A 2014014 
17-027601 O US IL METROPOLIS       37 10 43.73N 088 44 50.63W POLE               1 00032 00404 U 1 A U                A 2014014 
17-027602 O US IL METROPOLIS       37 10 44.54N 088 44 54.07W BLDG               1 00010 00380 U 1 A U                A 2014014 
17-027603 O US IL METROPOLIS       37 10 44.81N 088 45 12.13W POLE               1 00032 00404 U 1 A U                A 2014014 
17-027604 O US IL METROPOLIS       37 10 45.14N 088 45 09.94W POLE               1 00022 00392 U 1 A U                A 2014014 
17-027605 O US IL METROPOLIS       37 10 45.70N 088 44 51.91W TOWER              1 00048 00422 U 1 A U                A 2014014 
17-027606 O US IL METROPOLIS       37 10 45.92N 088 45 14.57W BLDG               1 00011 00385 U 1 A U                A 2014014 
17-027607 O US IL METROPOLIS       37 10 46.98N 088 45 14.55W POLE               1 00033 00407 U 1 A U                A 2014014 
17-027608 O US IL METROPOLIS       37 10 49.14N 088 45 12.49W BLDG               1 00011 00384 U 1 A U                A 2014014 
17-027609 O US IL METROPOLIS       37 10 49.45N 088 44 50.45W POLE               1 00038 00410 U 1 A U                A 2014014 
17-000875 O US IL METROPOLIS       37 10 50.00N 088 46 44.00W ELEVATOR           1 00205 00575 N 3 C N 1975AGL00670OE C 2014138 
17-027610 O US IL METROPOLIS       37 10 52.02N 088 44 50.40W POLE               1 00030 00404 U 1 A U                A 2014014 
17-027611 O US IL METROPOLIS       37 10 54.79N 088 44 50.33W POLE               1 00030 00407 U 1 A U                A 2014014 
17-027612 O US IL METROPOLIS       37 10 56.68N 088 44 55.95W TOWER              1 00038 00416 U 1 A U                A 2014014 
17-027613 O US IL METROPOLIS       37 10 57.58N 088 44 50.24W POLE               1 00029 00408 U 1 A U                A 2014014 
17-027614 O US IL METROPOLIS       37 10 59.93N 088 45 14.72W BLDG               1 00020 00400 U 1 A U                A 2014014 
17-027615 O US IL METROPOLIS       37 11 00.31N 088 44 50.15W POLE               1 00032 00412 U 1 A U                A 2014014 
17-027616 O US IL METROPOLIS       37 11 00.97N 088 44 55.72W BLDG               1 00021 00401 U 1 A U                A 2014014 
17-027617 O US IL METROPOLIS       37 11 01.32N 088 44 56.62W BLDG               1 00022 00403 U 1 A U                A 2014014 
17-027618 O US IL METROPOLIS       37 11 01.54N 088 44 54.50W BLDG               1 00013 00393 U 1 A U                A 2014014 
17-027619 O US IL METROPOLIS       37 11 01.91N 088 45 14.54W POLE               1 00025 00406 U 1 A U                A 2014014 
17-027620 O US IL METROPOLIS       37 11 02.82N 088 44 57.07W TOWER              1 00054 00435 U 1 A U                A 2014014 
17-027621 O US IL METROPOLIS       37 11 02.86N 088 44 55.32W POLE               1 00026 00407 U 1 A U                A 2014014 
17-027622 O US IL METROPOLIS       37 11 03.07N 088 44 50.04W POLE               1 00029 00409 U 1 A U                A 2014014 
17-027623 O US IL METROPOLIS       37 11 03.79N 088 44 54.85W BLDG               1 00018 00398 U 1 A U                A 2014014 
17-027624 O US IL METROPOLIS       37 11 03.81N 088 44 56.12W BLDG               1 00018 00398 U 1 A U                A 2014014 
17-027625 O US IL METROPOLIS       37 11 04.13N 088 44 57.04W POLE               1 00029 00409 U 1 A U                A 2014014 
17-027626 O US IL METROPOLIS       37 11 05.81N 088 44 49.97W POLE               1 00033 00414 U 1 A U                A 2014014 
17-027627 O US IL METROPOLIS       37 11 06.12N 088 45 00.01W POLE               1 00025 00405 U 1 A U                A 2014014 
17-027628 O US IL METROPOLIS       37 11 07.11N 088 44 57.05W TOWER              1 00027 00410 U 1 A U                A 2014014 
17-027629 O US IL METROPOLIS       37 11 07.27N 088 44 51.96W POLE               1 00035 00416 U 1 A U                A 2014014 
17-027630 O US IL METROPOLIS       37 11 07.58N 088 44 54.88W TOWER              1 00055 00436 U 1 A U                A 2014014 
17-027631 O US IL METROPOLIS       37 11 08.57N 088 44 57.10W POLE               1 00018 00398 U 1 A U                A 2014014 
17-027632 O US IL METROPOLIS       37 11 08.79N 088 44 55.57W POLE               1 00034 00414 U 1 A U                A 2014014 
17-027633 O US IL METROPOLIS       37 11 10.07N 088 44 56.10W TOWER              1 00029 00409 U 1 A U                A 2014014 
