  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
53-065334 U US WA VANCOUVER        45 37 22.34N 122 39 17.48W BLDG               1 00022 00048 N 4 D N 2011ANM01746OE A 2018024 
53-065340 U US WA VANCOUVER        45 37 23.13N 122 39 10.32W BLDG               1 00022 00047 N 4 D N 2011ANM01749OE A 2018024 
53-065333 U US WA VANCOUVER        45 37 23.27N 122 39 12.93W BLDG               1 00022 00047 N 4 D N 2011ANM01745OE A 2018024 
53-065337 U US WA VANCOUVER        45 37 23.40N 122 39 17.95W BLDG               1 00022 00048 N 4 D N 2011ANM01744OE A 2018024 
53-021776 O US WA THE DALLES       45 37 23.65N 121 10 18.50W FENCE              1 00009 00215 U 1 A U                A 2013178 
53-020428 O US WA VANCOUVER        45 37 24.73N 122 34 53.27W BLDG               1 00141 00441 R 2 C N 2004ANM01656OE A 2009246 
53-021777 O US WA THE DALLES       45 37 25.17N 121 10 26.26W FENCE              1 00004 00209 U 1 A U                A 2013178 
53-081593 U US WA VANCOUVER        45 37 25.46N 122 40 51.65W VERTICAL STRUCTURE 1 00071 00105 N 4 D N 2017ANM03283OE A 2018027 
53-127207 U US WA VANCOUVER        45 37 26.45N 122 40 36.80W BLDG               1 00102 00126 R 4 D N 2021ANM00523OE A 2023248 
53-065700 U US WA CAMAS            45 37 26.79N 122 23 41.47W BLDG               1 00025 00453 N 4 D N 2013ANM01383OE A 2018025 
53-127405 U US WA VANCOUVER        45 37 27.77N 122 40 23.38W BLDG               1 00090 00127 R 4 D N 2021ANM04397OE A 2023333 
53-000672 O US WA BIGGS            45 37 28.00N 120 54 58.00W T-L TWR            2 00120 00663 N 3 D N                C 2014152 
53-066114 U US WA VANCOUVER        45 37 28.30N 122 40 05.30W TOWER              1 00090 00134 N 4 D N 2014ANM03271OE A 2018024 
53-023606 O US WA VANCOUVER        45 37 28.43N 122 35 39.70W TOWER              1 00103 00407 R 1 A N 2015ANM01801OE A 2016095 
53-111798 U US WA VANCOUVER        45 37 30.00N 122 36 50.80W TOWER              1 00055 00351 N 4 D N 2019ANM04138OE A 2020083 
53-099126 U US WA VANCOUVER        45 37 31.05N 122 38 35.58W BLDG               1 00050 00177 N 4 D N 2017ANM03674OE C 2019109 
53-023662 O US WA VANCOUVER        45 37 31.61N 122 40 20.71W BLDG               1 00163 00209 R 1 A N 2020ANM04379OE C 2023333 
53-020205 O US WA VANCOUVER        45 37 32.00N 122 40 33.00W BLDG               1 00107 00147 R 5 D N 2006ANM00472OE C 2008291 
53-124523 U US WA VANCOUVER        45 37 32.44N 122 40 54.02W BLDG               1 00082 00124 N 4 D N 2020ANM06907OE A 2022192 
53-128544 U US WA VANCOUVER        45 37 32.50N 122 40 57.97W BLDG               1 00139 00180 R 4 D N 2020ANM05391OE A 2023354 
53-066060 U US WA CAMAS            45 37 32.69N 122 28 35.16W TOWER              1 00135 00423 N 1 A N 2014ANM02499OE A 2018024 
53-121638 U US WA VANCOUVER        45 37 33.00N 122 40 23.00W BLDG               1 00085 00131 N 4 D N 2019ANM02549OE A 2021040 
53-126234 U US WA CAMAS            45 37 33.00N 122 24 24.00W BLDG               1 00015 00423 N 4 D N 2020ANM05588OE A 2022305 
53-001389 O US WA VANCOUVER        45 37 35.28N 122 38 43.52W TOWER              1 00066 00196 N 1 A N 2009ANM02112OE C 2009356 
53-021370 O US WA VANCOUVER        45 37 38.70N 122 40 52.70W TOWER              1 00050 00099 N 5 D N 2013ANM00351OE C 2015210 
53-000447 O US WA VANCOUVER        45 37 39.00N 122 40 12.00W BLDG               1 00172 00247 R 5 D U 1982ANM00114OE C 2014152 
53-021379 O US WA VANCOUVER        45 37 39.70N 122 40 53.40W TOWER              1 00050 00101 N 5 D N 2010ANM01401OE A 2011306 
53-125613 U US WA VANCOUVER        45 37 39.85N 122 40 49.60W BLDG               1 00051 00104 N 4 D N 2020ANM04207OE A 2022256 
53-021382 O US WA VANCOUVER        45 37 40.10N 122 41 16.10W TOWER              1 00050 00091 N 5 D N 2010ANM01395OE A 2011306 
