  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
04-021743 O US AZ NOGALES          31 24 41.44N 110 51 23.36W GEN UTIL           1 00004 03841 U 1 A U                A 2013158 
04-021745 O US AZ NOGALES          31 24 42.11N 110 51 34.98W POLE               1 00042 03854 U 1 A U                A 2013158 
04-021739 O US AZ NOGALES          31 24 43.89N 110 51 18.38W GEN UTIL           1 00003 03849 U 1 A U                A 2013158 
04-021740 O US AZ NOGALES          31 24 44.68N 110 51 19.26W GEN UTIL           1 00003 03848 U 1 A U                A 2013158 
04-021736 O US AZ NOGALES          31 24 46.48N 110 51 05.22W FENCE              1 00002 03865 U 1 A U                A 2013158 
04-021735 O US AZ NOGALES          31 24 47.63N 110 51 03.84W FENCE              1 00003 03868 U 1 A U                A 2013158 
04-021738 O US AZ NOGALES          31 24 49.20N 110 51 13.89W NAVAID             1 00004 03858 U 1 A U                A 2013158 
04-020715 O US AZ DOUGLAS-BISBEE   31 24 49.91N 109 35 32.43W POLE               1 00031 04059 U 1 B U                A 2013157 
04-021733 O US AZ NOGALES          31 24 50.42N 110 51 00.42W FENCE              1 00005 03872 U 1 A U                A 2013158 
04-021737 O US AZ NOGALES          31 24 51.07N 110 51 13.44W SIGN               1 00003 03859 U 1 A U                A 2013158 
04-021729 O US AZ NOGALES          31 24 52.25N 110 50 56.82W FENCE              1 00008 03882 U 1 A U                A 2013158 
04-021728 O US AZ NOGALES          31 24 52.88N 110 50 57.40W FENCE              1 00008 03882 U 1 A U                A 2013158 
04-021725 O US AZ NOGALES          31 24 53.84N 110 50 56.04W NAVAID             1 00027 03904 R 1 A U                A 2013158 
04-021720 O US AZ NOGALES          31 24 54.29N 110 50 54.29W FENCE              1 00008 03887 U 1 A U                A 2013158 
04-021719 O US AZ NOGALES          31 24 54.90N 110 50 54.97W FENCE              1 00008 03886 U 1 A U                A 2013158 
04-079300 U US AZ BISBEE           31 24 57.24N 109 53 42.35W TOWER              1 00154 05512 N 4 D N 2021AWP06137OE A 2021237 
04-021692 O US AZ NOGALES          31 24 57.61N 110 51 09.91W POLE               1 00025 03895 U 1 A U                A 2013158 
04-021734 O US AZ NOGALES          31 24 57.73N 110 51 10.74W BLDG               1 00025 03895 U 1 A U                A 2013158 
04-021717 O US AZ NOGALES          31 24 58.24N 110 50 54.48W POLE               1 00013 03895 U 1 A U                A 2013158 
04-021721 O US AZ NOGALES          31 24 58.81N 110 50 59.98W SIGN               1 00004 03883 U 1 A U                A 2013158 
04-021723 O US AZ NOGALES          31 24 59.79N 110 51 01.47W SIGN               1 00004 03881 U 1 A U                A 2013158 
04-021726 O US AZ NOGALES          31 24 59.85N 110 51 04.39W SIGN               1 00004 03879 U 1 A U                A 2013158 
04-021730 O US AZ NOGALES          31 25 00.35N 110 51 06.94W BLDG               1 00017 03891 U 1 A U                A 2013158 
04-021732 O US AZ NOGALES          31 25 01.04N 110 51 08.82W BLDG               1 00022 03896 U 1 A U                A 2013158 
04-021731 O US AZ NOGALES          31 25 01.19N 110 51 08.61W BLDG               1 00024 03898 U 1 A U                A 2013158 
04-021727 O US AZ NOGALES          31 25 02.54N 110 51 08.04W BLDG               1 00020 03894 U 1 A U                A 2013158 
04-021722 O US AZ NOGALES          31 25 02.69N 110 51 04.39W BLDG               1 00005 03883 U 1 A U                A 2013158 
04-021718 O US AZ NOGALES          31 25 03.94N 110 51 02.76W POLE               1 00030 03911 U 1 A U                A 2013158 
04-021724 O US AZ NOGALES          31 25 04.58N 110 51 07.66W TOWER              1 00061 03938 U 1 A U                A 2013158 
04-021715 O US AZ NOGALES          31 25 06.37N 110 50 59.65W POLE               1 00028 03915 U 1 A U                A 2013158 
04-021716 O US AZ NOGALES          31 25 06.67N 110 51 01.32W POLE               1 00019 03906 U 1 A U                A 2013158 
04-021713 O US AZ NOGALES          31 25 07.40N 110 50 59.10W BLDG               1 00021 03911 U 1 A U                A 2013158 
04-021714 O US AZ NOGALES          31 25 07.91N 110 51 00.25W TANK               1 00018 03909 U 1 A U                A 2013158 
04-021704 O US AZ NOGALES          31 25 08.79N 110 50 41.43W FENCE              1 00005 03912 U 1 A U                A 2013158 
04-021710 O US AZ NOGALES          31 25 09.05N 110 50 47.43W SIGN               1 00002 03906 U 1 A U                A 2013158 
04-021712 O US AZ NOGALES          31 25 12.92N 110 50 57.17W FENCE              1 00004 03905 U 1 A U                A 2013158 
04-021707 O US AZ NOGALES          31 25 13.41N 110 50 48.46W POLE               1 00027 03934 U 1 A U                A 2013158 
04-021711 O US AZ NOGALES          31 25 14.21N 110 50 53.22W POLE               1 00033 03940 U 1 A U                A 2013158 
04-021709 O US AZ NOGALES          31 25 14.28N 110 50 51.03W POLE               1 00027 03938 U 1 A U                A 2013158 
04-021705 O US AZ NOGALES          31 25 14.31N 110 50 48.52W POLE               1 00027 03939 U 1 A U                A 2013158 
04-021703 O US AZ NOGALES          31 25 14.87N 110 50 47.53W GEN UTIL           1 00016 03930 U 1 A U                A 2013158 
04-021698 O US AZ NOGALES          31 25 15.17N 110 50 36.86W GEN UTIL           1 00002 03925 U 1 A U                A 2013158 
04-021762 O US AZ NOGALES          31 25 15.42N 110 51 17.23W POLE               1 00046 03935 U 1 A U                A 2013158 
04-066421 U US AZ BISBEE           31 25 15.80N 109 53 14.50W TOWER              1 00046 05082 N 4 D N 2020AWP01358OE A 2020066 
04-021702 O US AZ NOGALES          31 25 15.99N 110 50 48.65W POLE               1 00029 03944 U 1 A U                A 2013158 
04-021706 O US AZ NOGALES          31 25 16.29N 110 50 51.00W POLE               1 00023 03936 U 1 A U                A 2013158 
04-021708 O US AZ NOGALES          31 25 16.55N 110 50 53.05W POLE               1 00026 03936 U 1 A U                A 2013158 
04-021701 O US AZ NOGALES          31 25 16.92N 110 50 47.17W NAVAID             1 00051 03969 U 1 A U                A 2013158 
04-021700 O US AZ NOGALES          31 25 17.06N 110 50 45.98W POLE               1 00016 03935 U 1 A U                A 2013158 
04-021699 O US AZ NOGALES          31 25 18.17N 110 50 46.40W FENCE              1 00007 03924 U 1 A U                A 2013158 
04-021696 O US AZ NOGALES          31 25 21.36N 110 50 32.42W SIGN               1 00003 03939 U 1 A U                A 2013158 
04-021691 O US AZ NOGALES          31 25 21.74N 110 50 33.32W FENCE              1 00003 03936 U 1 A U                A 2013158 
04-021697 O US AZ NOGALES          31 25 22.11N 110 50 33.71W GEN UTIL           1 00004 03937 U 1 A U                A 2013158 
04-020714 O US AZ DOUGLAS-BISBEE   31 25 23.27N 109 36 15.71W FENCE              1 00006 04020 U 1 B U                A 2013157 
04-021695 O US AZ NOGALES          31 25 25.20N 110 50 22.08W FENCE              1 00003 03954 U 1 A U                A 2013158 
04-021693 O US AZ NOGALES          31 25 26.63N 110 50 20.63W FENCE              1 00007 03960 U 1 A U                A 2013158 
04-021694 O US AZ NOGALES          31 25 28.12N 110 50 24.17W SIGN               1 00003 03955 U 1 A U                A 2013158 
04-021750 O US AZ NOGALES          31 25 31.03N 110 50 15.73W FENCE              1 00005 03966 U 1 A U                A 2013158 
