  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
37-022184 O US NC OAK ISLAND       33 55 38.53N 078 04 16.54W T-L TWR            1 00068 00086 U 1 A U                A 2012269 
37-022131 O US NC OAK ISLAND       33 55 38.74N 078 04 15.10W POLE               1 00032 00049 U 1 A U                A 2012269 
37-022140 O US NC OAK ISLAND       33 55 39.87N 078 04 24.38W BLDG               1 00033 00053 U 1 A U                A 2012269 
37-022139 O US NC OAK ISLAND       33 55 40.04N 078 04 23.29W BLDG               1 00023 00045 U 1 A U                A 2012269 
37-022183 O US NC OAK ISLAND       33 55 40.06N 078 04 16.33W T-L TWR            1 00069 00085 U 1 A U                A 2012269 
37-022135 O US NC OAK ISLAND       33 55 40.21N 078 04 21.08W BLDG               1 00021 00043 U 1 A U                A 2012269 
37-100795 U US NC VARNAM           33 55 40.62N 078 12 10.92W TOWER              1 00154 00173 N 1 A N 2015ASO19835OE A 2018024 
37-021984 O US NC OAK ISLAND       33 55 40.71N 078 04 27.46W FENCE              1 00009 00030 U 1 A U                A 2012269 
37-022141 O US NC OAK ISLAND       33 55 40.84N 078 04 25.85W POLE               1 00032 00051 U 1 A U                A 2012269 
37-022134 O US NC OAK ISLAND       33 55 41.14N 078 04 22.10W BLDG               1 00020 00041 U 1 A U                A 2012269 
37-022133 O US NC OAK ISLAND       33 55 41.96N 078 04 23.18W BLDG               1 00020 00041 U 1 A U                A 2012269 
37-022179 O US NC OAK ISLAND       33 55 42.13N 078 04 16.13W T-L TWR            1 00080 00097 U 1 A U                A 2012269 
37-022138 O US NC OAK ISLAND       33 55 42.29N 078 04 24.82W BLDG               1 00027 00048 U 1 A U                A 2012269 
37-022142 O US NC OAK ISLAND       33 55 43.20N 078 04 33.11W POLE               1 00004 00024 U 1 A U                A 2012269 
37-022130 O US NC OAK ISLAND       33 55 43.68N 078 04 21.67W POLE               1 00034 00055 U 1 A U                A 2012269 
37-022182 O US NC OAK ISLAND       33 55 43.83N 078 04 21.39W TANK               1 00012 00032 U 1 A U                A 2012269 
37-022181 O US NC OAK ISLAND       33 55 43.92N 078 04 21.29W TANK               1 00011 00031 U 1 A U                A 2012269 
37-022177 O US NC OAK ISLAND       33 55 44.02N 078 04 17.95W SIGN               1 00017 00035 U 1 A U                A 2012269 
37-022129 O US NC OAK ISLAND       33 55 44.21N 078 04 20.91W BLDG               1 00012 00032 U 1 A U                A 2012269 
37-022180 O US NC OAK ISLAND       33 55 44.41N 078 04 20.90W SIGN               1 00023 00043 U 1 A U                A 2012269 
37-022128 O US NC OAK ISLAND       33 55 44.72N 078 04 20.41W BLDG               1 00021 00040 U 1 A U                A 2012269 
37-022176 O US NC OAK ISLAND       33 55 45.03N 078 04 14.79W T-L TWR            1 00069 00087 U 1 A U                A 2012269 
37-022178 O US NC OAK ISLAND       33 55 45.10N 078 04 19.98W TOWER              1 00038 00058 U 1 A U                A 2012269 
