  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
34-062524 U US NJ MIDDLE TOWNSHIP  39 04 04.85N 074 47 09.43W T-L TWR            1 00079 00084 N 4 D N 2017AEA08513OE C 2018074 
34-062630 U US NJ MIDDLE TOWNSHIP  39 04 05.29N 074 47 10.85W UTILITY POLE       1 00076 00078 N 4 D N 2017AEA08512OE A 2018030 
34-062622 U US NJ MIDDLE TOWNSHIP  39 04 05.75N 074 47 12.15W UTILITY POLE       1 00076 00078 N 4 D N 2017AEA08511OE A 2018030 
34-062579 U US NJ MIDDLE TOWNSHIP  39 04 06.17N 074 44 56.15W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08598OE A 2018030 
34-062611 U US NJ MIDDLE TOWNSHIP  39 04 06.83N 074 47 14.63W UTILITY POLE       1 00084 00088 N 4 D N 2017AEA08510OE A 2018030 
34-062580 U US NJ MIDDLE TOWNSHIP  39 04 07.35N 074 44 55.16W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08599OE A 2018030 
34-062613 U US NJ MIDDLE TOWNSHIP  39 04 07.97N 074 47 16.88W UTILITY POLE       1 00084 00090 N 4 D N 2017AEA08509OE A 2018030 
34-062779 U US NJ MIDDLE TOWNSHIP  39 04 08.06N 074 44 54.56W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08600OE A 2018030 
34-062614 U US NJ MIDDLE TOWNSHIP  39 04 08.70N 074 47 18.10W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08508OE A 2018030 
34-062585 U US NJ MIDDLE TOWNSHIP  39 04 09.10N 074 44 53.69W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08601OE A 2018030 
34-059834 U US NJ CAPE MAY COURT H 39 04 09.57N 074 49 43.10W TOWER              1 00121 00136 N 4 D N 2015AEA01144OE A 2018024 
34-062612 U US NJ MIDDLE TOWNSHIP  39 04 09.74N 074 47 19.93W UTILITY POLE       1 00083 00087 N 4 D N 2017AEA08507OE A 2018030 
34-062583 U US NJ MIDDLE TOWNSHIP  39 04 10.56N 074 44 52.45W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08602OE A 2018030 
34-067338 U US NJ MIDDLE TOWNSHIP  39 04 11.87N 074 47 23.39W T-L TWR            1 00083 00087 N 4 D N 2017AEA08506OE A 2018074 
