  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
23-022690 O US ME SANFORD          43 23 54.86N 070 41 40.45W T-L TWR            1 00034 00265 U 1 A U                A 2013164 
23-022662 O US ME SANFORD          43 23 55.86N 070 41 55.04W T-L TWR            1 00033 00268 U 1 A U                A 2013164 
23-022679 O US ME SANFORD          43 23 55.87N 070 41 38.47W T-L TWR            1 00030 00263 U 1 A U                A 2013164 
23-022658 O US ME SANFORD          43 23 56.61N 070 41 59.65W POLE               1 00045 00280 U 1 A U                A 2013164 
23-022706 O US ME SANFORD          43 23 56.87N 070 41 55.24W BLDG               1 00018 00255 U 1 A U                A 2013164 
23-022665 O US ME SANFORD          43 23 57.36N 070 41 53.31W T-L TWR            1 00024 00262 U 1 A U                A 2013164 
23-022661 O US ME SANFORD          43 23 58.00N 070 41 58.08W POLE               1 00026 00264 U 1 A U                A 2013164 
23-022663 O US ME SANFORD          43 23 58.42N 070 41 55.16W T-L TWR            1 00021 00268 U 1 A U                A 2013164 
23-021509 O US ME SANFORD          43 23 58.82N 070 42 33.78W BLDG               1 00015 00254 U 1 A U                A 2011007 
23-048187 U US ME SANFORD          43 23 58.85N 070 42 10.64W POLE               1 00045 00280 N 4 D N 2017ANE04125OE A 2018054 
23-022674 O US ME SANFORD          43 23 58.88N 070 41 49.91W T-L TWR            1 00037 00275 U 1 A U                A 2013164 
23-022672 O US ME SANFORD          43 23 59.52N 070 41 51.38W T-L TWR            1 00022 00262 U 1 A U                A 2013164 
23-022664 O US ME SANFORD          43 23 59.58N 070 41 56.53W POLE               1 00028 00267 U 1 A U                A 2013164 
23-022671 O US ME SANFORD          43 24 01.35N 070 41 54.80W POLE               1 00015 00265 U 1 A U                A 2013164 
23-022667 O US ME SANFORD          43 24 01.99N 070 41 59.68W BLDG               1 00054 00291 U 1 A U                A 2013164 
23-022678 O US ME SANFORD          43 24 02.31N 070 41 47.86W T-L TWR            1 00022 00272 U 1 A U                A 2013164 
23-022666 O US ME SANFORD          43 24 03.15N 070 42 02.05W BLDG               1 00054 00291 U 1 A U                A 2013164 
23-022676 O US ME SANFORD          43 24 03.24N 070 41 50.18W T-L TWR            1 00023 00272 U 1 A U                A 2013164 
23-021518 O US ME SANFORD          43 24 05.29N 070 42 53.57W POLE               1 00018 00262 U 1 A U                A 2011007 
23-022682 O US ME SANFORD          43 24 09.24N 070 40 59.20W T-L TWR            1 00060 00278 U 1 A U                A 2013164 
23-050977 U US ME SANFORD          43 24 10.10N 070 43 12.60W BLDG               1 00017 00259 N 4 D N 2019ANE00071OE A 2019059 
23-022684 O US ME SANFORD          43 24 10.89N 070 39 32.38W T-L TWR            1 00033 00242 U 1 A U                A 2013164 
23-048188 U US ME SANFORD          43 24 11.93N 070 43 01.44W BLDG               1 00026 00273 N 4 D N 2019ANE05649OE C 2021180 
23-022681 O US ME SANFORD          43 24 12.43N 070 41 03.21W T-L TWR            1 00054 00273 U 1 A U                A 2013164 
23-063423 U US ME SANFORD          43 24 15.56N 070 42 48.90W UTILITY POLE       1 00048 00286 N 4 D N 2020ANE04996OE A 2020296 
23-000302 O US ME KENNEBUNKPORT    43 24 16.94N 070 26 14.48W TOWER              1 00324 00394 D 1 B N 2015ANE00032OE C 2017082 
23-063424 U US ME SANFORD          43 24 17.44N 070 42 47.79W UTILITY POLE       1 00048 00287 N 4 D N 2020ANE04995OE A 2020296 
23-021502 O US ME SANFORD          43 24 19.21N 070 42 41.41W BLDG               1 00094 00336 U 1 A U                A 2011007 
23-063422 U US ME SANFORD          43 24 19.32N 070 42 46.68W UTILITY POLE       1 00048 00287 N 4 D N 2020ANE04994OE A 2020296 
23-063421 U US ME SANFORD          43 24 21.34N 070 42 45.48W UTILITY POLE       1 00048 00285 N 4 D N 2020ANE04993OE A 2020294 
23-063420 U US ME SANFORD          43 24 22.95N 070 42 44.59W UTILITY POLE       1 00048 00285 N 4 D N 2020ANE04992OE A 2020294 
23-063419 U US ME SANFORD          43 24 23.93N 070 42 44.06W UTILITY POLE       1 00048 00284 N 4 D N 2020ANE04991OE C 2021362 
23-063418 U US ME SANFORD          43 24 24.15N 070 42 44.29W UTILITY POLE       1 00048 00284 N 4 D N 2020ANE04990OE A 2020294 
23-022683 O US ME SANFORD          43 24 25.53N 070 41 13.07W T-L TWR            1 00056 00293 U 1 A U                A 2013164 
23-000385 O US ME BIDDEFORD        43 24 25.81N 070 33 57.76W TOWER              1 00222 00352 D 1 A N 2018ANE03705OE C 2018257 
23-063417 U US ME SANFORD          43 24 26.64N 070 42 43.07W UTILITY POLE       1 00048 00281 N 4 D N 2020ANE04989OE A 2020294 
23-063411 U US ME SANFORD          43 24 29.19N 070 42 41.84W UTILITY POLE       1 00048 00280 N 4 D N 2020ANE04988OE A 2020294 
23-063402 U US ME SANFORD          43 24 31.64N 070 42 40.64W UTILITY POLE       1 00048 00282 N 4 D N 2020ANE04987OE A 2020294 
23-063412 U US ME SANFORD          43 24 33.29N 070 42 39.69W T-L TWR            1 00052 00286 N 4 D N 2020ANE04986OE A 2020296 
23-062280 U US ME SANFORD          43 24 34.00N 070 44 28.00W BLDG               1 00055 00332 N 4 D N 2018ANE06905OE A 2021040 
