  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
55-084629 U US WI BELOIT           42 31 27.78N 088 57 13.21W T-L TWR            1 00199 01080 N 4 D N 2014AGL11858OE A 2018027 
55-084589 U US WI BELOIT           42 31 28.28N 088 57 17.10W T-L TWR            1 00199 01082 N 4 D N 2014AGL11857OE A 2018027 
55-084628 U US WI BELOIT           42 31 28.40N 088 57 23.00W T-L TWR            1 00199 01067 N 4 D N 2014AGL11856OE A 2018028 
55-084669 U US WI BELOIT           42 31 28.53N 088 57 28.89W T-L TWR            1 00199 01059 N 4 D N 2014AGL11855OE A 2018028 
55-082007 U US WI BELOIT           42 31 28.65N 088 57 34.89W T-L TWR            1 00082 00951 N 4 D N 2011AGL02136OE A 2018027 
55-027679 O US WI BELOIT           42 31 28.65N 088 57 34.78W T-L TWR            1 00191 01060 N 4 D N 2014AGL11854OE A 2017174 
55-084587 U US WI BELOIT           42 31 28.72N 088 57 39.55W T-L TWR            1 00199 01061 N 4 D N 2014AGL11848OE A 2018027 
55-081983 U US WI BELOIT           42 31 28.80N 088 57 43.88W T-L TWR            1 00087 00925 N 4 D N 2011AGL02132OE A 2018027 
55-084625 U US WI BELOIT           42 31 28.81N 088 57 44.03W T-L TWR            1 00199 01037 N 4 D N 2014AGL11847OE A 2018027 
55-084666 U US WI BELOIT           42 31 28.96N 088 57 51.17W T-L TWR            1 00199 01024 N 4 D N 2014AGL11846OE A 2018027 
55-084586 U US WI BELOIT           42 31 29.12N 088 57 58.30W T-L TWR            1 00199 01010 N 4 D N 2014AGL11845OE A 2018027 
55-082030 U US WI BELOIT           42 31 29.30N 088 57 51.70W TOWER              1 00078 00912 N 4 D N 2011AGL02764OE A 2018024 
55-084010 U US WI BELOIT           42 31 29.48N 089 04 33.14W T-L TWR            1 00074 00911 N 4 D N 2013AGL11122OE A 2018027 
55-084667 U US WI BELOIT           42 31 30.50N 088 57 41.93W T-L TWR            1 00199 01032 N 4 D N 2014AGL11849OE A 2018027 
55-084626 U US WI BELOIT           42 31 30.56N 088 57 43.76W T-L TWR            1 00199 01032 N 4 D N 2014AGL11850OE A 2018027 
55-082572 U US WI PLEASANT PRAIRIE 42 31 30.90N 087 53 51.70W T-L TWR            1 00126 00819 N 4 D N 2012AGL06682OE A 2018027 
55-084627 U US WI BELOIT           42 31 30.91N 088 57 41.20W T-L TWR            1 00199 01032 N 4 D N 2014AGL11853OE A 2018027 
55-084588 U US WI BELOIT           42 31 31.95N 088 57 43.36W T-L TWR            1 00199 01032 N 4 D N 2014AGL11851OE A 2018027 
55-120120 O US WI BELOIT           42 31 32.10N 089 08 43.79W TOWER              1 00304 01165 D 1 A N 2022AGL19208OE A 2023237 
55-084668 U US WI BELOIT           42 31 32.35N 088 57 42.63W T-L TWR            1 00199 01032 N 4 D N 2014AGL11852OE A 2018028 
55-084043 U US WI BELOIT           42 31 32.46N 089 04 33.21W T-L TWR            1 00075 00914 N 4 D N 2013AGL11121OE A 2018027 
55-084072 U US WI BELOIT           42 31 32.49N 089 04 37.33W T-L TWR            1 00070 00915 N 4 D N 2013AGL11120OE A 2018027 
55-084009 U US WI BELOIT           42 31 32.52N 089 04 42.13W T-L TWR            1 00070 00911 N 4 D N 2013AGL11119OE A 2018027 
55-084042 U US WI BELOIT           42 31 32.58N 089 04 47.00W T-L TWR            1 00061 00901 N 4 D N 2013AGL11118OE A 2018027 
55-084071 U US WI BELOIT           42 31 32.62N 089 04 51.21W T-L TWR            1 00057 00897 N 4 D N 2013AGL11117OE A 2018027 
55-084008 U US WI BELOIT           42 31 32.65N 089 04 55.67W T-L TWR            1 00061 00891 N 4 D N 2013AGL11116OE A 2018027 
55-084041 U US WI BELOIT           42 31 32.67N 089 05 00.05W T-L TWR            1 00066 00891 N 4 D N 2013AGL11115OE A 2018027 
55-084070 U US WI BELOIT           42 31 32.69N 089 05 04.46W T-L TWR            1 00070 00894 N 4 D N 2013AGL11114OE A 2018027 
55-084007 U US WI BELOIT           42 31 32.74N 089 05 08.66W T-L TWR            1 00070 00897 N 4 D N 2013AGL11113OE A 2018027 
55-084040 U US WI BELOIT           42 31 35.77N 089 05 08.68W T-L TWR            1 00066 00907 N 4 D N 2013AGL11112OE A 2018027 
55-082135 U US WI PLEASANT PRAIRIE 42 31 36.80N 087 55 04.80W TOWER              1 00155 00835 N 1 A N 2011AGL05539OE A 2018024 
55-020383 O US WI PLEASANT PRAIRIE 42 31 37.20N 087 51 11.30W TOWER              1 00126 00806 N 1 A N 2010AGL01468OE C 2010145 
55-090190 O US WI SHULLSBURG       42 31 37.28N 090 16 15.03W TOWER              1 00305 01340 D 1 A N 2018AGL22024OE A 2019284 
55-082493 U US WI PLEASANT PRAIRIE 42 31 37.50N 087 53 51.70W T-L TWR            1 00124 00819 N 4 D N 2012AGL06681OE A 2018027 
55-084069 U US WI BELOIT           42 31 39.29N 089 05 08.68W T-L TWR            1 00066 00913 N 4 D N 2013AGL11111OE A 2018027 
